Season,Episode Number,Episode Name
1,1,Gem Glow
1,2,Laser Light Cannon
1,3,Cheeseburger Backpack
1,4,Together Breakfast
1,5,Frybo
1,6,Cat Fingers
1,7,Bubble Buddies
1,8,Serious Steven
1,9,Tiger Millionaire
1,10,Steven's Lion
1,11,Arcade Mania
1,12,Giant Woman
1,13,So Many Birthdays
1,14,Lars and the Cool Kids
1,15,Onion Trade
1,16,Steven the Sword Fighter
1,17,Lion 2: The Movie
1,18,Beach Party
1,19,Rose's Room
1,20,Coach Steven
1,21,Joking Victim
1,22,Steven and the Stevens
1,23,Monster Buddies
1,24,An Indirect Kiss
1,25,Mirror Gem (Part 1)
1,26,Ocean Gem (Part 2)
1,27,House Guest
1,28,Space Race
1,29,Secret Team
